
username,2024-03-06T15:38:00.664842400,IN
username,2024-03-06T15:38:31.101329800,OUT
username,2024-03-06T15:43:33.920649700,IN
username,2024-03-06T15:43:40.466762300,OUT
username,2024-03-06T16:35:58.821087800,IN
userID,currentUsername,2024-03-06T16:57:07.399832900,IN
username,2024-03-06T16:59:01.112486500,IN
username,2024-03-06T17:08:42.616152600,OUT
username,2024-03-06T17:18:06.065173800,IN
username,2024-03-06T17:43:17.309579400,IN
exampleUsername,2024-03-06T17:57:39.135890800,IN
username,2024-03-06T18:45:37.942821800,IN
username,2024-03-06T18:49:42.196574300,IN
username,2024-03-06T18:56:48.202813600,IN
username,2024-03-06T19:01:51.889637800,IN
